15,56
13,56
9,59
13,67
15,67
9,70
13,79
10,87
13,91
9,95
11,99
12,115
8,119
8,205
13,205
6,206
12,206
0,207
2,208
14,209
13,209
0,210
9,210
2,211
12,212
7,212
9,212
0,212
0,214
9,214
2,215
12,215
2,219
2,223
3,235
1,249
3,259
13,262
8,272
7,283
8,285
12,296
14,296
12,377
2,378
1,379
2,380
11,380
14,380
8,381
2,382
2,428
8,428
1,459
8,473
14,479
7,585
0,590
15,591
3,591
3,601
1,666
2,672
14,749
3,750
3,752
15,753
1,753
3,907
1,909
14,910
1,911
2,921
7,943
3,944
13,967
12,1076
2,1077
9,1078
3,1078
6,1079
7,1080
1,1082
12,1143
0,1250
12,1267
12,1348
8,1444
6,1450
7,1506
2,1541
0,1541
0,1648
13,1649
7,1652
3,1671
2,1682
2,1693
1,1714
0,1726
0,1736
0,1817
13,1830
6,1830
3,1831
3,2008
15,2012
1,2018
0,2054
8,2217
13,2244
9,2250
1,2251
12,2257
6,2508
9,2611
7,2625
8,2762
10,2798
8,2802
6,2810
10,2821
11,2833
6,2929
14,2929
2,2930
4,2949
10,2949
7,2951
9,3130
9,3187
14,3191
9,3212
13,3216
8,3247
13,3324
1,3385
13,3411
12,3549
13,3560
9,3654
8,3655
13,3698
13,3711
12,4786
13,4787
13,4986
12,5022
13,5034
0,5041
15,5047
0,5053
13,5057
12,5181
13,5182
13,5183
12,5397
13,5504
13,5602
12,5605
13,5639
0,5651
1,5788
10,5955
11,5998
12,5999
13,6021
7,6021
12,6056
11,6141
6,6160
13,6174
12,6198
12,6336
13,6338
12,6382
12,6404
12,6442
12,6453
10,6453
12,6465
4,6465
7,6465
10,6552
5,6552
13,6553
11,6553
6,6554
4,6613
8,6752
12,6752
9,6771
5,6772
11,6772
1,6772
12,6773
8,6777
11,6777
11,6800
8,6800
5,6801
7,6807
13,6807
9,6812
11,6900
8,6900
11,6903
12,6905
9,6907
10,6910
9,6923
11,6934
13,6934
15,6945
11,6945
10,7049
12,7052
11,7052
10,7082
11,7120
12,7152
10,7254
13,7301
11,7301
12,7325
12,7338
13,7417
11,7458
3,7474
1,7486
10,7616
13,7616
5,7617
13,7617
11,7618
12,7635
12,7647
10,7682
0,7790
7,7846
13,7857
12,7870
12,8038
10,8042
4,8054
13,8075
5,8148
10,8153
12,8154
10,8181
13,8234
3,8247
2,8269
12,8355
0,8356
13,8356
3,8419
13,8419
11,8443
2,8582
12,8582
12,8583
13,8590
12,8627
3,8743
13,8743
3,8744
10,8744
13,8754
12,8956
1,8959
13,9005
12,9030
13,9231
13,9243
12,9362
13,9363
11,9364
2,9365
13,9494
3,9590
14,9969
1,9970
13,10049
11,10171
13,10229
1,10300
0,10401
12,10609
2,10797
3,10973
12,11029
13,11179
6,11180
13,11229
13,11241
6,11275
7,11287
7,11299
10,11589
6,11853
12,12017
11,12207
1,12261
10,12378
0,12997
10,13371
8,13372
9,13373
11,13373
9,13435
11,13598
10,14049
14,14049
15,14999
14,15694
11,15968
11,15971
7,15972
10,15972
11,15975
5,15976
4,15992
4,16118
4,16198
12,16315
12,16400
8,16408
8,16516
12,16517
12,16564
13,16756
7,16822
4,16912
5,16959
11,17496
13,17985
10,17985
9,18001
13,18020
9,18022
13,18031
13,18044
13,18057
9,18057
9,18069
13,18079
